iteration,loss,epsilon,eval_reward,avg_pieces_placed,avg_score,timestamp
1310000,3975.008939,0.0100,-339.7680,0.00,0.00,2026-04-10T20:56:38.502296
1320000,4042.418232,0.0100,-75.7440,0.00,0.00,2026-04-10T21:15:25.666637
1330000,3992.512632,0.0100,-206.3920,0.00,0.00,2026-04-10T21:34:18.121949
1340000,3998.142667,0.0100,-224.2000,0.00,0.00,2026-04-10T21:53:02.879951
1350000,3948.656206,0.0100,-339.2960,0.00,0.00,2026-04-10T22:11:42.482319
1360000,3910.985946,0.0100,-342.0080,0.00,0.00,2026-04-10T22:30:30.658682
1370000,3980.665662,0.0100,-175.9280,0.00,0.00,2026-04-10T22:49:10.985089
1380000,3928.178224,0.0100,-468.4160,0.00,0.00,2026-04-10T23:07:50.388231
1390000,3929.195158,0.0100,-207.4800,0.00,0.00,2026-04-10T23:26:39.070806
1400000,3843.396444,0.0100,-316.7920,0.00,0.00,2026-04-10T23:45:26.506626
1410000,3793.310392,0.0100,-82.0800,0.00,0.00,2026-04-11T00:04:15.229423
1420000,3838.264580,0.0100,-173.6480,0.00,0.00,2026-04-11T00:22:59.085116
1430000,3949.270588,0.0100,-329.9840,0.00,0.00,2026-04-11T00:41:43.973349
1440000,3906.475850,0.0100,-346.4080,0.00,0.00,2026-04-11T01:00:26.342983
1450000,3888.005893,0.0100,-183.8400,0.00,0.00,2026-04-11T01:19:14.831015
1460000,3788.364944,0.0100,-463.9440,0.00,0.00,2026-04-11T01:38:02.384203
1470000,3856.427902,0.0100,-425.8400,0.00,0.00,2026-04-11T02:10:12.428502
1480000,3861.525208,0.0100,-340.8320,0.00,0.00,2026-04-11T02:28:52.495817
1490000,3780.439894,0.0100,-181.0400,0.00,0.00,2026-04-11T02:47:31.276060
1500000,3960.882589,0.0100,-289.7440,0.00,0.00,2026-04-11T03:06:08.251171
1510000,3889.363167,0.0100,-62.7840,0.00,0.00,2026-04-11T03:24:45.618239
1520000,3973.130005,0.0100,-205.5360,0.00,0.00,2026-04-11T03:43:34.723074
1530000,4131.542786,0.0100,-45.1440,0.00,0.00,2026-04-11T04:02:15.282161
1540000,4048.346374,0.0100,-473.7840,0.00,0.00,2026-04-11T04:20:58.921551
1550000,3885.892311,0.0100,-151.7520,0.00,0.00,2026-04-11T04:39:43.126338
1560000,3976.439231,0.0100,-307.2320,0.00,0.00,2026-04-11T04:58:30.668448
1570000,3941.396584,0.0100,-444.9360,0.00,0.00,2026-04-11T05:17:17.281795
1580000,3875.294756,0.0100,-68.8880,0.00,0.00,2026-04-11T05:35:59.355302
1590000,3906.880864,0.0100,-188.5920,0.00,0.00,2026-04-11T05:54:47.030206
1600000,3806.858938,0.0100,-323.9680,0.00,0.00,2026-04-11T06:13:36.676737
1610000,3760.490203,0.0100,-188.4160,0.00,0.00,2026-04-11T06:32:21.845491
1620000,3779.317193,0.0100,-286.0960,0.00,0.00,2026-04-11T06:51:10.741910
1630000,3876.306488,0.0100,59.7920,0.00,0.00,2026-04-11T07:09:57.866702
1640000,3749.731219,0.0100,-328.0000,0.00,0.00,2026-04-11T07:28:42.091883
1650000,3763.307237,0.0100,-39.0720,0.00,0.00,2026-04-11T07:47:26.950220
1660000,3839.082886,0.0100,-204.3200,0.00,0.00,2026-04-11T08:06:12.975169
1670000,3889.498453,0.0100,-171.9440,0.00,0.00,2026-04-11T08:24:57.868010
1680000,3936.394214,0.0100,-54.1120,0.00,0.00,2026-04-11T08:43:42.954926
1690000,3916.401016,0.0100,-340.6480,0.00,0.00,2026-04-11T09:02:27.175256
1700000,4079.117320,0.0100,-209.0400,0.00,0.00,2026-04-11T09:21:07.797134
1710000,3963.697936,0.0100,-68.4080,0.00,0.00,2026-04-11T09:39:59.235392
1720000,3963.187372,0.0100,-451.1680,0.00,0.00,2026-04-11T09:59:10.648520
1730000,4027.042723,0.0100,-195.8720,0.00,0.00,2026-04-11T10:17:57.686861
1740000,3885.488428,0.0100,-194.0320,0.00,0.00,2026-04-11T10:36:43.223884
1750000,3767.470538,0.0100,-298.2880,0.00,0.00,2026-04-11T10:55:33.411507
1760000,3732.267132,0.0100,-197.7440,0.00,0.00,2026-04-11T11:14:23.954050
1770000,3931.997621,0.0100,-299.0400,0.00,0.00,2026-04-11T11:33:53.772468
1780000,3915.817426,0.0100,-383.9520,0.00,0.00,2026-04-11T11:52:39.765967
1790000,3753.375471,0.0100,-215.5920,0.00,0.00,2026-04-11T12:11:28.286980
1800000,4068.035111,0.0100,-330.5040,0.00,0.00,2026-04-11T12:30:54.670854
1810000,3901.650758,0.0100,-291.4320,0.00,0.00,2026-04-11T12:49:39.515000
1820000,3916.185615,0.0100,-311.5200,0.00,0.00,2026-04-11T13:08:39.982424
1830000,4013.795859,0.0100,-190.2000,0.00,0.00,2026-04-11T13:27:37.362416
1840000,4042.229090,0.0100,-186.9520,0.00,0.00,2026-04-11T13:46:32.090834
1850000,4036.314098,0.0100,77.9280,0.00,0.00,2026-04-11T14:05:21.783671
1860000,4064.637630,0.0100,-215.8240,0.00,0.00,2026-04-11T14:24:30.546236
1870000,4007.484281,0.0100,-461.4720,0.00,0.00,2026-04-11T14:43:30.403820
1880000,4022.332511,0.0100,-66.2880,0.00,0.00,2026-04-11T15:02:26.119297
1890000,4017.804053,0.0100,-312.4080,0.00,0.00,2026-04-11T15:21:18.918729
1900000,3925.165425,0.0100,-312.0720,0.00,0.00,2026-04-11T15:40:16.810102
1910000,4091.039865,0.0100,-171.2720,0.00,0.00,2026-04-11T15:59:13.767560
1920000,4166.681927,0.0100,-45.8480,0.00,0.00,2026-04-11T16:18:06.661274
1930000,4358.890827,0.0100,-446.1200,0.00,0.00,2026-04-11T16:36:55.043235
1940000,4288.225152,0.0100,-329.3520,0.00,0.00,2026-04-11T16:55:44.014568
1950000,4130.830462,0.0100,-206.3440,0.00,0.00,2026-04-11T17:14:40.965204
1960000,4203.578277,0.0100,-283.9360,0.00,0.00,2026-04-11T17:33:36.562972
1970000,4215.429116,0.0100,-294.6160,0.00,0.00,2026-04-11T21:32:28.731518
1980000,4190.146805,0.0100,-322.4560,0.00,0.00,2026-04-11T21:51:16.420833
1990000,4160.645462,0.0100,-174.0800,0.00,0.00,2026-04-11T22:10:09.838733
2000000,4070.385294,0.0100,-210.8960,0.00,0.00,2026-04-11T22:28:57.883354
2010000,4081.759926,0.0100,-201.4960,0.00,0.00,2026-04-11T22:47:47.735911
2020000,4028.015090,0.0100,-201.5440,0.00,0.00,2026-04-11T23:06:37.927132
2030000,4039.789507,0.0100,-328.1120,0.00,0.00,2026-04-11T23:25:31.029986
2040000,4020.564640,0.0100,-170.0800,0.00,0.00,2026-04-11T23:44:26.815069
2050000,4061.222973,0.0100,-12.3840,0.00,0.00,2026-04-12T00:03:16.931668
2060000,3926.509601,0.0100,-486.2560,0.00,0.00,2026-04-12T00:22:04.173778
2070000,4063.128029,0.0100,-209.7920,0.00,0.00,2026-04-12T00:40:57.710608
2080000,4074.641640,0.0100,-321.3760,0.00,0.00,2026-04-12T00:59:48.877683
2090000,4218.054687,0.0100,-295.9200,0.00,0.00,2026-04-12T01:18:43.035736
2100000,4121.028068,0.0100,82.8160,0.00,0.00,2026-04-12T01:37:36.105091
2110000,4035.632808,0.0100,-185.7120,0.00,0.00,2026-04-12T01:56:33.431257
2120000,4058.502050,0.0100,-70.3520,0.00,0.00,2026-04-12T02:15:33.040634
2130000,3976.783088,0.0100,-483.7760,0.00,0.00,2026-04-12T02:34:24.117428
2140000,4033.966467,0.0100,-173.6800,0.00,0.00,2026-04-12T02:53:14.748921
2150000,3876.919937,0.0100,-446.3360,0.00,0.00,2026-04-12T03:12:08.085160
2160000,3952.999521,0.0100,-257.2080,0.00,0.00,2026-04-12T03:31:23.744140
2170000,3751.493430,0.0100,-424.2880,0.00,0.00,2026-04-12T03:50:19.902975
2180000,3646.906455,0.0100,-181.2400,0.00,0.00,2026-04-12T04:09:15.075503
2190000,3775.663584,0.0100,-326.8640,0.00,0.00,2026-04-12T04:28:40.095051
2200000,3749.374141,0.0100,-193.1520,0.00,0.00,2026-04-12T04:47:55.467155
2210000,3829.646232,0.0100,-320.3280,0.00,0.00,2026-04-12T05:07:14.421068
2220000,3851.791861,0.0100,-335.1840,0.00,0.00,2026-04-12T05:26:36.846200
2230000,3841.511676,0.0100,71.9280,0.00,0.00,2026-04-12T05:46:01.052517
2240000,3842.963066,0.0100,-292.1840,0.00,0.00,2026-04-12T06:05:14.558586
2250000,3818.682995,0.0100,-467.6320,0.00,0.00,2026-04-12T06:24:17.772536
2260000,3825.032738,0.0100,-449.2800,0.00,0.00,2026-04-12T06:43:26.271432
2270000,3756.534507,0.0100,-84.2800,0.00,0.00,2026-04-12T07:02:30.979147
