iteration,loss,epsilon,eval_reward,timestamp
28000,29.217209,0.0500,-84.4320,2026-03-03T06:40:26.545797
29000,29.665325,0.0500,-64.0780,2026-03-03T06:41:11.995742
30000,28.853413,0.0500,-75.6900,2026-03-03T06:41:56.870789
31000,29.233876,0.0500,-136.5560,2026-03-03T06:42:42.289026
32000,32.910481,0.0500,-70.1780,2026-03-03T06:43:27.793722
33000,30.668517,0.0500,-81.4760,2026-03-03T06:44:11.768813
34000,26.492185,0.0500,-60.9200,2026-03-03T06:44:56.827437
35000,27.411489,0.0500,-60.7740,2026-03-03T06:45:42.377996
36000,32.558931,0.0500,-83.6620,2026-03-03T06:46:30.470515
37000,29.988420,0.0500,-70.6180,2026-03-03T06:47:21.328806
38000,29.778426,0.0500,-97.8300,2026-03-03T06:48:08.088395
39000,31.027685,0.0500,-90.5780,2026-03-03T06:48:53.403464
40000,32.366604,0.0500,-73.0440,2026-03-03T06:49:39.882716
41000,30.446503,0.0500,-81.2500,2026-03-03T06:50:25.715676
42000,33.772258,0.0500,-80.3060,2026-03-03T06:51:10.743405
43000,33.533656,0.0500,-80.1460,2026-03-03T06:51:55.903824
44000,30.311150,0.0500,-66.9500,2026-03-03T06:52:41.010983
45000,29.989365,0.0500,-52.1480,2026-03-03T06:53:26.797074
46000,27.018864,0.0500,-67.1260,2026-03-03T06:54:11.634282
47000,25.763216,0.0500,-70.6800,2026-03-03T06:54:57.236184
48000,25.381797,0.0500,-74.5660,2026-03-03T06:55:43.050868
49000,26.201743,0.0500,-76.9080,2026-03-03T06:56:28.006337
50000,27.576861,0.0500,-61.0080,2026-03-03T06:57:13.435361
51000,27.637274,0.0500,-71.9280,2026-03-03T06:57:58.255951
52000,27.544417,0.0500,-55.3100,2026-03-03T06:58:43.241054
53000,28.177646,0.0500,-75.2900,2026-03-03T06:59:28.237149
54000,28.224693,0.0500,-72.0980,2026-03-03T07:00:13.298835
55000,30.730260,0.0500,-113.2860,2026-03-03T07:00:58.132682
56000,36.131276,0.0500,-85.2720,2026-03-03T07:01:42.176716
57000,36.149029,0.0500,-55.6980,2026-03-03T07:02:27.346903
58000,29.719017,0.0500,-58.7940,2026-03-03T07:03:12.987503
59000,25.689570,0.0500,-102.7340,2026-03-03T07:03:57.848891
60000,25.354477,0.0500,-52.7620,2026-03-03T07:04:42.857920
61000,24.680224,0.0500,-82.1300,2026-03-03T07:20:57.514647
62000,25.744658,0.0500,-68.0080,2026-03-03T07:21:43.454140
63000,29.102814,0.0500,-131.1360,2026-03-03T07:22:29.244535
64000,33.532166,0.0500,-67.9540,2026-03-03T07:23:15.017606
65000,29.722090,0.0500,-46.3060,2026-03-03T07:23:59.964613
66000,25.688611,0.0500,-61.9380,2026-03-03T07:24:46.059587
67000,24.953913,0.0500,-92.6900,2026-03-03T07:25:32.158231
68000,29.891014,0.0500,-75.3960,2026-03-03T07:26:18.166511
69000,29.478793,0.0500,-56.7980,2026-03-03T07:27:07.671086
70000,24.268397,0.0500,-56.7220,2026-03-03T07:27:53.241063
71000,25.077172,0.0500,-58.8240,2026-03-03T07:28:38.613679
72000,27.841792,0.0500,-82.7500,2026-03-03T07:29:22.434265
73000,30.758989,0.0500,-84.8720,2026-03-03T07:30:06.138061
74000,30.129983,0.0500,-51.4780,2026-03-03T07:30:49.962403
75000,30.053299,0.0500,-81.5560,2026-03-03T07:31:34.189612
76000,27.357864,0.0500,-67.8700,2026-03-03T07:32:19.006564
77000,26.760408,0.0500,-81.8060,2026-03-03T07:33:04.979379
78000,27.444749,0.0500,-54.8260,2026-03-03T07:33:50.384086
79000,24.716594,0.0500,-56.4740,2026-03-03T07:34:35.918602
80000,29.280860,0.0500,-108.1360,2026-03-03T07:35:21.698085
81000,30.504319,0.0500,-95.6160,2026-03-03T07:36:06.976314
82000,30.526875,0.0500,-66.6500,2026-03-03T07:36:51.171053
83000,32.102688,0.0500,-93.2040,2026-03-03T07:37:35.561690
84000,26.326032,0.0500,-69.6140,2026-03-03T07:38:20.012358
85000,25.189107,0.0500,-117.4520,2026-03-03T07:39:04.616562
86000,29.999770,0.0500,-68.0560,2026-03-03T07:39:56.046737
87000,28.691407,0.0500,-64.3380,2026-03-03T07:40:49.170953
88000,28.618734,0.0500,-59.4780,2026-03-03T07:41:33.933155
89000,27.504652,0.0500,-99.5960,2026-03-03T07:42:19.579314
90000,29.432971,0.0500,-74.2660,2026-03-03T07:43:04.582917
91000,29.093293,0.0500,-59.7500,2026-03-03T07:43:59.556652
92000,27.464796,0.0500,-102.0720,2026-03-03T07:44:46.329403
93000,28.352596,0.0500,-72.7220,2026-03-03T07:45:32.566572
94000,30.576436,0.0500,-69.3820,2026-03-03T07:46:19.044203
95000,33.875251,0.0500,-87.9180,2026-03-03T07:47:05.279243
96000,29.147270,0.0500,-63.0380,2026-03-03T07:47:52.409375
97000,27.853560,0.0500,-78.1540,2026-03-03T07:48:38.659489
98000,27.147473,0.0500,-89.5120,2026-03-03T07:49:25.740047
99000,27.006001,0.0500,-56.2380,2026-03-03T07:50:11.013446
100000,26.946777,0.0500,-83.4080,2026-03-03T07:50:57.408724
101000,28.858195,0.0500,-70.1340,2026-03-03T07:51:43.112138
102000,29.468252,0.0500,-79.8240,2026-03-03T07:52:28.824655
103000,29.440183,0.0500,-81.5740,2026-03-03T07:53:14.862864
104000,30.488582,0.0500,-119.0500,2026-03-03T07:53:59.623109
105000,27.864089,0.0500,-83.5340,2026-03-03T07:54:44.628772
106000,27.369813,0.0500,-69.4320,2026-03-03T07:55:30.071525
107000,26.770842,0.0500,-63.4440,2026-03-03T07:56:14.741119
108000,26.588433,0.0500,-55.9580,2026-03-03T07:56:59.245567
109000,26.821669,0.0500,-91.6300,2026-03-03T07:57:44.635894
